work_id,perf_id_A,title_A,artist_A,yt_id_A,perf_id_B,title_B,artist_B,yt_id_B
3493,490555,Gonna Have a Good Time,The Clingers,u-4Qb8K9xn0,1430816,Good Times,The Screaming Tribesmen,5iR_ItOjzbg
3576,1172170,Rockin' Pneumonia,Lance Anderson,_kuSlauAQzE,1442354,Rockin' Pneumonia,The Boogie Kings,oO2W56wqhjE
3684,3684,Sweet Little Rock and Roll,Chuck Berry,AZBSTG6ZlZA,7270,Sweet Little Rock 'n' Roller,Rod Stewart,SJtO2AK0uJs
3708,607830,Tallahassee Lassie,Ernos,I3Uv-TMF_i0,897002,Talahassie Lassie,Hotfoot Gale,8UJpRVW6S-k
3798,610584,Complainte du partisan,Patrice Caratini - Hildegarde Wanzlawe - Rémi Sciuto,haAz6t1-UQo,1578177,The Partisan,H-Burns,bVNGOgS7FTY
3816,305330,Get Ready,The Barking Dogs,3DZcaLThHkM,342103,Get Ready,Kirka,k9s9v8tTTv8
3839,48455,The Man That Got Away,Cher,ZrlqwVfaH_4,539803,The Man That Got Away,Frank Chacksfield and His Orchestra,D1w0GpVAna4
3856,168909,Dark as a Dungeon,The Tarriers,9BX_HA9u3sw,1741150,Dark as a Dungeon,Bob de Cormier - Pete Seeger,Gt9H3_n9gPM
3860,733408,Old Flames Can't Hold a Candle to You,Hugh Moffatt,PsgvGriKkvM,1013303,Old Flames,Louise Morrissey,1uD5tffUtjY
3875,95070,Never Let Me Down Again,Tina Root,9fvNM0iMo-Y,676095,Never Let Me Down Again,Os Digitalistas,f5B6J2DCutw
3880,55500,Policy of Truth,Diefenbach,cL4lk_nhjws,1631784,Policy of Truth,Synthetic Division,8p3rMAmXiEY
3882,124642,Somebody,Emigre,RhAhL9mf7LA,213537,Somebody,Soyka,x0vYRvQAYrE
3902,55499,Stripped,EPO-555,1d1P8BkWy0E,241702,Stripped,Дельфин,cdGoQe-RQrs
3917,362537,Blue,Lynn Skinner featuring Bob Schlesinger & Bob Rebholz,LUmYLSSr6JY,1104551,Blue,Colin Steele Quartet,YbWFSYD64gw
3976,889043,State Trooper,Jen Cloher,Ys7qp_wzHls,1637573,State Trooper,Leonardo e Riccardo Sgavetti,mjzqW0TcaeI
3980,1029427,Dreams,"Allie Moss, Bess Rogers & Hannah Winkler",gQ5MTRGHuLc,1249881,Dreams,Stories feat. Lily Kershaw,A1mk8bKMUUU
4037,4194,We Had It All,Green on Red,20nYraVjT9U,1442542,We Had It All,John Fred,vs4kw2q96_U
4041,357046,I Can't Help Myself (Sugar Pie Honey Bunch),Meredith Anne Bull,mYAUdI7Olmo,676157,Can't Help Myself,Dobby Dobson,mjGv8CCpRFg
4066,258643,Inner City Blues (Makes Me Wanna Holler),Sarah Vaughan,R0hQ2vuUiFc,855430,Inner City Blues,Julie Dexter,FlLcezP4-io
4103,559127,Runaway,Bobby Sherman,HeC7x_3MUAU,1081767,Runaway,Peggy & Brad,YlazPY3_3m4
4116,166998,Love Me Like a Man,Jill Johnson,4Ids0iaDCSg,971975,Love Me Like a Man,Pamela Driggs,Jmt2rss9X7c
4131,390623,No Expectations,Totta's Bluesband,2PlOiCqx_Bw,524489,No Expectations,The Connection,7Jc57c-9WY4
4195,1584449,Under Pressure,Anthony Roth Costanzo - Justin Vivian Bond,Uk-zQjhR8gI,1618474,Under Pressure,"Kim Sanders, Sharron Levy",Aj-tNaB3O3M
4232,964766,Proč právě já,Jitka Vrbová,OUxjEqLUeYk,509185,Stand by Your Man,Enoch Light and the Glittering Guitars,tthmGlRmk0c
4249,694261,My Way,Martin Fontaine,VeLU1MXdO5k,1342644,My Way,"Gibellini, Birro, Negri",eG1Z15ugidQ
4351,576769,Born on the Bayou,Bjurman,UFU-1FNGaKs,1327832,Born on the Bayou,Paul Haake Band,keTOj-M4pgk
4366,378419,Fortunate Son,The Ghost Inside,C70o2jTZeDg,1127434,Fortunate Son,ABC Company,e8lWEC6hG10
4393,372238,Marina,Laila Kinnunen - Jaakko Salon yhtye,YbSfH7HNjyg,1426554,Marina,De Polderzangers,tdNpYT3BXmg
4435,109349,Je suis venue te dire que je m'en vais,Stereo Total,byuPyQF5JIs,42647,I Have Come to Tell You I'm Going,Mick Harvey,-TbKoIaM9ug
4444,1086102,A Well Respected Man,Ben Crosland Quintet,bGWvy9d0Q9Q,1721270,A Well Respected Man,Mary Lamont,cAiFN-HKs1M
4470,916305,I'm on Fire,Joe Policastro Trio,wGf7eRXTpgc,1077430,I'm on Fire,Νίκος Τσιαμτσίκας,kznCrpX8958
4489,1145097,Susie Q,The Phoenix Authority,UwUPsJPIpIs,1264564,Susie-Q,Ron Shepard,5jo34OQhub0
4525,178828,Borderline,Nicolas Thys Trio,Nm3_nc_aYbY,368937,Borderline,Marc with a C,yXtlkybEt-s
4533,68238,Frozen,Pascal Obispo,5EUYAeXliNY,587356,Frozen,Exit Eden feat. Simone Simons,HH8-1q0tKko
4615,6502,Out of Time,Manic Street Preachers,DOfe1ftFBMg,252973,Out of Time,Dan McCafferty,fctJzygy24Y
4637,971420,Something's Gotten Hold of My Heart,John Anthony [GB],mUyMXu_7geQ,571410,Quelque chose en moi tient mon cœur,Vicky Leandros,Z30PbTzFM0Q
4642,1354800,Bang Bang - My Baby Shot Me Down,Stephan Bienwald,Ee_vJbsHjsI,1361106,Bang Bang (Pour le meilleur et pour le pire),Kayliah,wyRQyubVjBE
4670,4671,Stay with Me Baby,Terry Reid,zDYMSHV50I8,304887,Stay with Me Baby,Marbles [GB1],FnmNIxNTpVg
4690,469074,I've Got a Crush on You,Roger Cicero,U-1SddappMw,740851,I've Got a Crush on You,Tony Bennett & Diana Krall with The Bill Charlap Trio,3TS3Ltbn2bY
4696,659441,The Man I Love,Lisa Lovbrand,WSwXRCgw7Wg,158355,The Man I Love,Dorothy Donegan,V74A12N0H5A
4702,571012,My Man's Gone Now,Bunky Green,gZNBPAolgrk,1053691,My Man's Gone Now,Laurent Cugny with The Gil Evans Paris Workshop,SDEA8iCUWP4
4730,5705,Get Together,The Youngbloods,7xGxQXmu7Os,29241,Let's Get Together,Jefferson Airplane,LZFw_CAkb_k
4762,405601,Do You Know the Way to San Jose?,Bossa Rio,NvVD4paKMeA,444300,Do You Know the Way to San Jose,Robert Goulet,4FZtRlwTzVo
4781,1255038,Da Do Ron Ron,Brendan Bowyer and The Royal Showband Waterford,EqyrrIFHt2A,1668799,Da doo ron ron,Framed,cdH8zmjxLk4
4824,585512,Monk's Dream,Sonny Fortune,7LjWaBDkNp4,831808,Monk's Dream,Miles Okazaki,fF-_stVdr8I
4837,1589162,All the Things You Are,Kuh Ledesma,gpaYm866GtM,128661,All the Things You Are,Serge Chaloff,qmswnF80Kfs
4878,352143,When the World Was Young,Eydie Gorme - Orchestra conducted by Don Costa,WUZCf9KwjPk,638402,When the World Was Young,Joyce Carr,V2dBxYNxBE4
4922,703492,Hunajainen,A. Aallon Rytmiorkesteri,ecE9RvzE2M8,305093,A Taste of Honey,The Two of Us,jfCHRiyCG3k
4929,429660,Happy Days Are Here Again,Anika Larsen,dN9llteBFMo,912470,Happy Days Are Here Again,The Perfect Gentlemen,LpkC7qoSVJM
5316,1295007,Over the Rainbow,Zachary James - Charity Wicks,7_W6VSL96ig,931428,Somewhere over the Rainbow,Hunkasaurus and His Pet Dog Guitar,Bz87AhlfYIA
5319,111881,Live and Let Die,Escala,y3CJhISQMbs,632920,Live and Let Die,Starlite Orchestra & Singers,Bz68A57PTDo
5339,615768,December 1963 (Oh What a Night),Russ Abbot,2NCI1mUqSFA,870616,"Oh, What a Night",The Buffalo Chips [US],yT68egxBUrM
5363,43442,Little Green Apples,Stanley Turrentine,hdzYX5vjQL4,433931,Little Green Apples,Jackie Trent and Tony Hatch,hBSRGZrV0V0
5502,359899,The Wind Cries Mary,Sting,POevkDxAW4M,1371785,The Wind Cries Mary,Rémi Charmasson Quintet,MGqu3Cj6nWY
5572,815628,Sitting in Limbo,George McCrae,yWcLvjzizIg,1053788,Sitting in Limbo,Don Brown [US2],8rghzgNMSEw
5588,1425275,אם נדע לאהוב,אביבה שוורץ - דני ליטני - ריקי גל - ישראל גריון,lLyXRDDbfbE,1083211,If We Only Have Love,Janet Redstone,c8nJ9wVnySw
5595,479780,Cocaine,Lex Vandyke,pl_ges6kQl0,716721,Cocaine,[CMH Studio Artists],RqtxNNPVlNI
5652,510430,Landslide,Grassmasters,xFn4aD_uUus,1048417,Landslide,Mark Burchfield,YVkULBgQ3_Q
5669,1180784,Uninvited,Bellsaint,UfyuIsJqLPA,1558563,Uninvited,Elsie Binx,OlG3EOuQWHI
5674,1068235,Caruso,Fabio Morgera,cI1K2dPfPr0,1679737,Caruso,Richard Galliano - Thierry Escaich,POL6ys4ITV0
5682,243836,Hospůdko známá,Jaromír Mayer a Bezinky - Taneční orchestr Čs. rozhlasu - řídí Josef Vobruba,vyWewUXZruE,1344377,Hospůdko známá,Studiová skupina Tomáše Haranta,wc66EHO0nPA
5777,691182,It Takes Two,Human Nature with Mary Wilson,To2TrqmCtqg,746042,It Takes Two,Zindy feat. James Sampson,0WI-pZYiFlk
5851,447326,With You I'm Born Again,Vanessa Rubin,_Vv-DsYQja4,1266893,I'm Born Again,Johnny O'Neal,u3hc-TR8OE0
5854,945892,Samba e amor,Ellen de Albuquerque,MvOBbn_VerQ,1077335,Samba e amor,Canto Ma Non Presto,KJb-l1QzpGI
5919,589357,99 Luftballons,Les Brünettes,PRSwnkvI38Y,850131,99 Luftballons,Leæther Strip,I5INAiy6F4s
5948,33010,San Francisco Bay Blues,Paul McCartney,n8hO2TX7hOA,110338,San Francisco Bay Blues,Dave Kelly [GB],Wz0L7vx6JT8
5973,824223,Due foglie di settembre,Garbo [IT],27jhGKgiXSA,5974,Eyes Without a Face,Scooter [DE],L2pZWNHoiBY
6085,6085,Best of My Love,Emotions [US1],Mm8h1-E1KuE,856523,Best of My Love,Simone Hines,XJRQ2w2gHgE
6097,1759174,Golden Slumbers,Pat Coil,30aG-tLjXdA,753406,Golden Slumbers,Meg Birch,q-k9eEmJ-hQ
6114,645100,Theme from Mahogany - Do You Know Where You're Going To,Joe Bourne,ChAp1shasr0,394851,En opeens,Mieke,g0074ZfWKBw
6173,31632,Don't Play That Song,Rocky Roberts & The Airedales,DzufCCHcJG8,796284,Pas cette chanson,Les Fingers,lvj0m5rX-P0
6207,987211,E lucevan le stelle,Michael Bolton,Ni20e0-1-6E,1095268,Avalon,Nitcho Reinhardt,2OOCQpAtEs4
6220,411405,Nessun dorma,Geoff Sewell,EuiYci90Ogo,1444269,Nessun dorma,Amira [NL],r8KrpwqxE4g
6279,343070,Solvejg's Song,Tomita,eHvPfr3C800,867498,Solveig's Song,Anneke van Giersbergen & Árstíðir,wk8f3KuuLI8
6328,65347,Life in a Northern Town,Voice Male [BE],W4ET4pgt_bk,1143496,Life in a Northern Town,The Tribute Co.,FMGQDuYyWJk
6347,6347,Glory of Love,Peter Cetera,yQHhqDRn4_c,526351,Glory of Love,James Farrelli,MWQhpKmrX5k
6451,1314791,Climb Every Mountain,The Victorians,IpM1MdS0gMQ,673550,Climb Every Mountain,101 Strings,DtFOLUzvqw8
6475,697935,Gloria,Kikka [IT],hr8RfvN20GA,1629975,Dívka Gloria,Vítězslav Vávra - Maximum P. Hanniga,B5MJNHisvkM
6477,955301,Nothing Compares 2 U,Jessica Vosk,ebeYAC-tWXA,129497,Nothing Compares to You,Vienna Boys Choir,8i_1eLWGnVM
6485,758091,House of the Rising Sun,Chase Holfelder,LmJspx8hrBU,787340,The House of the Rising Sun,Chie Ayado,4LDactMnpbg
6509,217409,Pretty Flamingo,Tommy Roe,YOYNrd4PijU,866862,Pretty Flamingo,Harold Betters,jAfsxKtHFRU
6569,17109,Holiday in Cambodia,Richard Cheese,6DH7sPQncV0,850378,Holiday in Cambodia,El Supernaut,_Ew54PGwloQ
6596,102096,Sad but True,10-Feet,YAGGinASNPs,1117968,Sad but True,Ambient Light Orchestra,sFxDYgflKYA
6616,1249549,Enter Sandman,Ghost [SE],BTA6zBU0-4k,1327777,Enter Sandman,Melodicka Bros,W-nFl24DtpE
6625,132411,Seek & Destroy,Hellsongs,md0qY7Bpbc4,1636851,Seek and Destroy,Apocalyptica,9Y6iN99OFIo
6628,171827,For Whom the Bell Tolls,Dark Age,77EM3y2tYiQ,335674,For Whom the Bell Tolls,Sabaton,VwDzLYyyE6A
6715,1185862,Shadow of Your Smile,Vinnie Sperrazza - Jacob Sacks - Masa Kamaguchi,ZaIno0Z5NSg,702110,Shadow of Your Smile,Arnold Klos Trio,rPk5QOK3YQc
6722,23927,And the Angels Sing,Herb Alpert and The Tijuana Brass,I3Dc5XAs9t8,659222,The Angels Sing,Cathi Hayes - Barney Kessel & Orch.,slCkiztDlF8
6760,1115882,Last Kiss,Yoga Pop Ups,aCzaCr-37Uo,1498249,El último beso,Los American's,M8RhJgXs0EA
6764,428999,You Don't Bring Me Flowers,Julie Andrews,vOHigyiuyJw,868528,You Don't Bring Me Flowers,Rob Fowler - Sharon Sexton,wWFhiUYb9Xs
6771,1544806,Woman in Love,S.H.E.,aAeVivlMU_k,690180,Miluj mě víc,Věra Špinarová,wSAGdKCygUU
6774,1449888,Let Your Love Flow,Dale Sutton,Uu3M_Ba0TQU,583663,Låt din kärlek flöda,Wizex,gjXFiEppx_U
6777,6778,"Never, Never, Never",Shirley Bassey,JpoTwsNsDFQ,1451326,"Grande, grande, grande",Silvana di Lorenzo con Horacio Malvicino y su orquesta,qQZtYO0GCS4
6859,875821,Garota de Ipanema,Keissy Costa,Jma08_SRweA,926868,The Girl from Ipanema,Steven Herring,08qykDCWF9U
6872,1266275,It's a Heartache,Springbok,rOMH0d7nb84,1303837,It's a Heartache,Mona-Lee,WCaAWK7VyiI
6874,260980,Stone Free,Yuya Uchida and The Flowers,TxaTIYUzA0I,1134433,Stone Free,The Hit Co.,NZ3BCtcETLc
6895,301302,Red House,Dickie Peterson,5zVq0jPnrw4,1643833,Red House,Toto [US],q0P1pwg3-fQ
